#twotheta, yobs, ycal, bkg, diff
2.387000e+001,2.502644e+004,2.514461e+004,2.481556e+004,-1.181741e+002
2.388000e+001,2.491992e+004,2.512789e+004,2.480099e+004,-2.079635e+002
2.389000e+001,2.502707e+004,2.511251e+004,2.478643e+004,-8.543327e+001
2.390000e+001,2.512736e+004,2.509832e+004,2.477187e+004,2.903601e+001
2.391000e+001,2.514729e+004,2.508524e+004,2.475731e+004,6.205298e+001
2.392000e+001,2.524133e+004,2.507320e+004,2.474275e+004,1.681322e+002
2.393000e+001,2.503619e+004,2.506218e+004,2.472818e+004,-2.599376e+001
2.394000e+001,2.505606e+004,2.505218e+004,2.471362e+004,3.876929e+000
2.395000e+001,2.470387e+004,2.504321e+004,2.469906e+004,-3.393384e+002
2.396000e+001,2.503458e+004,2.503530e+004,2.468450e+004,-7.205857e-001
2.397000e+001,2.511055e+004,2.502848e+004,2.466994e+004,8.206951e+001
2.398000e+001,2.511059e+004,2.502281e+004,2.465537e+004,8.778641e+001
2.399000e+001,2.503928e+004,2.501835e+004,2.464081e+004,2.092932e+001
2.400000e+001,2.509118e+004,2.501518e+004,2.462625e+004,7.600096e+001
2.401000e+001,2.487594e+004,2.501340e+004,2.461169e+004,-1.374605e+002
2.402000e+001,2.482971e+004,2.501312e+004,2.459713e+004,-1.834010e+002
2.403000e+001,2.483796e+004,2.501446e+004,2.458256e+004,-1.765067e+002
2.404000e+001,2.497262e+004,2.501760e+004,2.456800e+004,-4.497334e+001
2.405000e+001,2.510120e+004,2.502270e+004,2.455344e+004,7.850374e+001
2.406000e+001,2.489115e+004,2.502998e+004,2.453888e+004,-1.388292e+002
2.407000e+001,2.499301e+004,2.503969e+004,2.452432e+004,-4.668007e+001
2.408000e+001,2.477963e+004,2.505215e+004,2.450975e+004,-2.725175e+002
2.409000e+001,2.518324e+004,2.506771e+004,2.449519e+004,1.155232e+002
2.410000e+001,2.499881e+004,2.508683e+004,2.448063e+004,-8.802401e+001
2.411000e+001,2.513831e+004,2.511005e+004,2.446607e+004,2.825953e+001
2.412000e+001,2.522532e+004,2.513806e+004,2.445151e+004,8.726818e+001
2.413000e+001,2.517942e+004,2.517167e+004,2.443694e+004,7.743395e+000
2.414000e+001,2.538769e+004,2.521194e+004,2.442238e+004,1.757519e+002
2.415000e+001,2.536317e+004,2.526014e+004,2.440782e+004,1.030262e+002
2.416000e+001,2.544373e+004,2.531785e+004,2.439326e+004,1.258808e+002
2.417000e+001,2.571618e+004,2.538698e+004,2.437870e+004,3.292028e+002
2.418000e+001,2.588599e+004,2.546981e+004,2.436414e+004,4.161801e+002
2.419000e+001,2.595153e+004,2.556907e+004,2.434957e+004,3.824523e+002
2.420000e+001,2.600771e+004,2.568790e+004,2.433501e+004,3.198110e+002
2.421000e+001,2.589953e+004,2.582986e+004,2.432045e+004,6.967129e+001
2.422000e+001,2.614802e+004,2.599891e+004,2.430589e+004,1.491104e+002
2.423000e+001,2.656548e+004,2.619931e+004,2.429133e+004,3.661678e+002
2.424000e+001,2.662883e+004,2.643548e+004,2.427676e+004,1.933486e+002
2.425000e+001,2.700207e+004,2.671178e+004,2.426220e+004,2.902927e+002
2.426000e+001,2.737372e+004,2.703212e+004,2.424764e+004,3.416067e+002
2.427000e+001,2.730808e+004,2.739940e+004,2.423308e+004,-9.132179e+001
2.428000e+001,2.775846e+004,2.781460e+004,2.421852e+004,-5.614275e+001
2.429000e+001,2.814300e+004,2.827536e+004,2.420395e+004,-1.323603e+002
2.430000e+001,2.873026e+004,2.877408e+004,2.418939e+004,-4.381596e+001
2.431000e+001,2.913883e+004,2.929557e+004,2.417483e+004,-1.567383e+002
2.432000e+001,2.976176e+004,2.981525e+004,2.416027e+004,-5.348602e+001
2.433000e+001,3.042839e+004,3.029918e+004,2.414571e+004,1.292108e+002
2.434000e+001,3.069599e+004,3.070807e+004,2.413114e+004,-1.207356e+001
2.435000e+001,3.142258e+004,3.100570e+004,2.411658e+004,4.168819e+002
2.436000e+001,3.169425e+004,3.116595e+004,2.410202e+004,5.283022e+002
2.437000e+001,3.150517e+004,3.117246e+004,2.408746e+004,3.327108e+002
2.438000e+001,3.111828e+004,3.102908e+004,2.407290e+004,8.920279e+001
2.439000e+001,3.110131e+004,3.074780e+004,2.405833e+004,3.535064e+002
2.440000e+001,3.034865e+004,3.034575e+004,2.404377e+004,2.902548e+000
2.441000e+001,2.970075e+004,2.984442e+004,2.402921e+004,-1.436765e+002
2.442000e+001,2.921360e+004,2.926940e+004,2.401465e+004,-5.580311e+001
2.443000e+001,2.890659e+004,2.864629e+004,2.400009e+004,2.603060e+002
2.444000e+001,2.767766e+004,2.800469e+004,2.398552e+004,-3.270302e+002
2.445000e+001,2.747306e+004,2.737190e+004,2.397096e+004,1.011596e+002
2.446000e+001,2.692211e+004,2.677071e+004,2.395640e+004,1.514007e+002
2.447000e+001,2.621529e+004,2.621856e+004,2.394184e+004,-3.267862e+000
2.448000e+001,2.576334e+004,2.572726e+004,2.392728e+004,3.608272e+001
2.449000e+001,2.544328e+004,2.530308e+004,2.391271e+004,1.401950e+002
2.450000e+001,2.508689e+004,2.494735e+004,2.389815e+004,1.395413e+002
2.451000e+001,2.506341e+004,2.465725e+004,2.388359e+004,4.061613e+002
2.452000e+001,2.448932e+004,2.442691e+004,2.386903e+004,6.241334e+001
2.453000e+001,2.444251e+004,2.424851e+004,2.385447e+004,1.940078e+002
2.454000e+001,2.429511e+004,2.411334e+004,2.383991e+004,1.817766e+002
2.455000e+001,2.420602e+004,2.401271e+004,2.382534e+004,1.933102e+002
2.456000e+001,2.430289e+004,2.393860e+004,2.381078e+004,3.642916e+002
2.457000e+001,2.428413e+004,2.388409e+004,2.379622e+004,4.000396e+002
2.458000e+001,2.406466e+004,2.384352e+004,2.378166e+004,2.211359e+002
2.459000e+001,2.379206e+004,2.381252e+004,2.376710e+004,-2.045204e+001
2.460000e+001,2.384303e+004,2.378783e+004,2.375253e+004,5.519775e+001
2.461000e+001,2.376695e+004,2.376717e+004,2.373797e+004,-2.152405e-001
2.462000e+001,2.387587e+004,2.374899e+004,2.372341e+004,1.268796e+002
2.463000e+001,2.363602e+004,2.373229e+004,2.370885e+004,-9.626813e+001
2.464000e+001,2.375264e+004,2.371643e+004,2.369429e+004,3.620851e+001
2.465000e+001,2.382884e+004,2.370105e+004,2.367972e+004,1.277906e+002
2.466000e+001,2.362523e+004,2.368592e+004,2.366516e+004,-6.068788e+001
2.467000e+001,2.345655e+004,2.367093e+004,2.365060e+004,-2.143801e+002
2.468000e+001,2.332022e+004,2.365601e+004,2.363604e+004,-3.357859e+002
2.469000e+001,2.349937e+004,2.364113e+004,2.362148e+004,-1.417608e+002
2.470000e+001,2.369344e+004,2.362626e+004,2.360691e+004,6.717497e+001
2.471000e+001,2.387252e+004,2.361142e+004,2.359235e+004,2.611055e+002
2.472000e+001,2.334587e+004,2.359658e+004,2.357779e+004,-2.507036e+002
2.473000e+001,2.357465e+004,2.358174e+004,2.356323e+004,-7.096126e+000
2.474000e+001,2.336498e+004,2.356692e+004,2.354867e+004,-2.019422e+002
2.475000e+001,2.338159e+004,2.355210e+004,2.353410e+004,-1.705131e+002
2.476000e+001,2.318518e+004,2.353728e+004,2.351954e+004,-3.521033e+002
2.477000e+001,2.327380e+004,2.352248e+004,2.350498e+004,-2.486793e+002
2.478000e+001,2.331491e+004,2.350767e+004,2.349042e+004,-1.927586e+002
2.479000e+001,2.354288e+004,2.349287e+004,2.347586e+004,5.000651e+001
2.480000e+001,2.318472e+004,2.347808e+004,2.346129e+004,-2.933583e+002
2.481000e+001,2.321252e+004,2.346329e+004,2.344673e+004,-2.507709e+002
2.482000e+001,2.321796e+004,2.344851e+004,2.343217e+004,-2.305514e+002
2.483000e+001,2.351209e+004,2.343373e+004,2.341761e+004,7.836076e+001
2.484000e+001,2.323229e+004,2.341895e+004,2.340305e+004,-1.866592e+002
2.485000e+001,2.284372e+004,2.340418e+004,2.338848e+004,-5.604588e+002
2.486000e+001,2.320914e+004,2.338942e+004,2.337392e+004,-1.802724e+002
2.487000e+001,2.325917e+004,2.337465e+004,2.335936e+004,-1.154825e+002
2.488000e+001,2.318532e+004,2.335990e+004,2.334480e+004,-1.745775e+002
2.489000e+001,2.288477e+004,2.334514e+004,2.333024e+004,-4.603698e+002
2.490000e+001,2.318666e+004,2.333039e+004,2.331568e+004,-1.437262e+002
2.491000e+001,2.319283e+004,2.331564e+004,2.330111e+004,-1.228169e+002
2.492000e+001,2.280574e+004,2.330090e+004,2.328655e+004,-4.951572e+002
2.493000e+001,2.302121e+004,2.328616e+004,2.327199e+004,-2.649540e+002
2.494000e+001,2.303000e+004,2.327142e+004,2.325743e+004,-2.414202e+002
2.495000e+001,2.277570e+004,2.325669e+004,2.324287e+004,-4.809855e+002
2.496000e+001,2.286317e+004,2.324196e+004,2.322830e+004,-3.787863e+002
2.497000e+001,2.292621e+004,2.322723e+004,2.321374e+004,-3.010201e+002
2.498000e+001,2.299212e+004,2.321251e+004,2.319918e+004,-2.203915e+002
2.499000e+001,2.297713e+004,2.319779e+004,2.318462e+004,-2.206527e+002
2.500000e+001,2.309152e+004,2.318307e+004,2.317006e+004,-9.154558e+001
