Meta Data
Label,Value,
Date,5/9/2022
Profile,HillsAndValleys
ScanDuration,300 s
ScanLength,7378.92 µm
ScanResolution,0.0819862 µm
ScanType,Standard Scan
StylusForce,5 mg
StylusScanRange,524 µm
StylusType,Radius: 12.5 μm
Time,12:08:19 PM


Data Leveling Position
R Cursor Position,1701.88708457139 µm
R Cursor Width,0 µm
M Cursor Position,2236.26366251348 µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
16.397235614667,292.382581184163,,
16.4792217927404,284.393949132965,,
16.5612079708137,285.850180321928,,
16.643194148887,277.098214592328,,
16.7251803269604,268.047440956517,,
16.8071665050337,269.296995201287,,
16.889152683107,261.28238773371,,
16.9711388611804,263.919873985167,,
17.0531250392537,257.517913756039,,
17.1351112173271,251.790980259108,,
17.2170973954004,256.992342256334,,
17.2990835734737,253.092201724892,,
17.3810697515471,249.434644686395,,
17.4630559296204,245.902128507895,,
17.5450421076937,242.3517697614,,
17.6270282857671,238.670186131696,,
17.7090144638404,234.841020427986,,
17.7910006419137,220.952504998648,,
17.8729868199871,217.382284545393,,
17.9549729980604,215.087689079427,,
18.0369591761337,214.406618085397,,
18.1189453542071,215.626819633437,,
18.2009315322804,218.982404831415,,
18.2829177103537,214.620166748057,,
18.3649038884271,222.790143515128,,
18.4468900665004,234.185789610033,,
18.5288762445738,238.764767223807,,
18.6108624226471,246.481658284208,,
18.6928486007204,257.711115729757,,
18.7748347787938,272.49469914066,,
18.8568209568671,290.418885888628,,
18.9388071349404,300.539467889035,,
19.0207933130138,321.643343506348,,
19.1027794910871,322.681252708264,,
19.1847656691604,322.1454846469,,
19.2667518472338,319.858238413547,,
19.3487380253071,315.828243525548,,
19.4307242033804,310.26413865648,,
19.5127103814538,303.55185158751,,
19.5946965595271,296.191076293899,,
19.6766827376004,288.696656336493,,
19.7586689156738,291.530543875619,,
19.8406550937471,284.832777218377,,
19.9226412718205,278.048357247194,,
20.0046274498938,281.130165512822,,
20.0866136279671,263.785861053703,,
20.1685998060405,265.486682024308,,
20.2505859841138,256.895587650461,,
20.3325721621871,237.831847551149,,
20.4145583402605,229.180084382738,,
20.4965445183338,222.482559716684,,
20.5785306964071,228.62862853089,,
20.6605168744805,238.138779927375,,
20.7425030525538,240.548736635172,,
20.8244892306271,245.1784216395,,
20.9064754087005,241.610373016909,,
20.9884615867738,259.301822834746,,
21.0704477648471,257.731898865482,,
21.1524339429205,255.173309825581,,
21.2344201209938,251.073399860974,,
21.3164062990672,244.970247838751,,
21.3983924771405,226.58623306787,,
21.4803786552138,226.201053364909,,
21.5623648332872,204.886322671915,,
21.6443510113605,193.259582529583,,
21.7263371894338,183.482448578202,,
21.8083233675072,187.329445476822,,
21.8903095455805,186.282125326389,,
21.9722957236538,200.906174758699,,
22.0542819017272,231.649574608662,,
22.1362680798005,247.454587238287,,
22.2182542578738,266.306664713976,,
22.3002404359472,266.99068716947,,
22.3822266140205,278.359219239364,,
22.4642127920938,290.279699070513,,
22.5461989701672,291.950771425332,,
22.6281851482405,302.833871754821,,
22.7101713263138,293.051318179544,,
22.7921575043872,282.596720874439,,
22.8741436824605,292.944782743367,,
22.9561298605339,295.319851421573,,
23.0381160386072,299.7264374549,,
23.1201022166805,306.695258951278,,
23.2020883947539,326.800093101933,,
23.2840745728272,330.544278868245,,
23.3660607509005,328.196488791508,,
23.4480469289739,351.581253652374,,
23.5300331070472,382.8297547175,,
23.6120192851205,412.44839275625,,
23.6940054631939,450.502343966677,,
23.7759916412672,486.943482959436,,
23.8579778193405,531.049599109596,,
23.9399639974139,581.921016331491,,
24.0219501754872,617.891076790321,,
24.1039363535605,657.003274315919,,
24.1859225316339,678.091305467468,,
24.2679087097072,699.891452628927,,
24.3498948877806,732.040339291578,,
24.4318810658539,753.614079509781,,
24.5138672439272,762.79641583473,,
24.5958534220006,768.321344550364,,
24.6778396000739,769.552569102399,,
24.7598257781472,755.966937460464,,
24.8418119562206,747.409606866566,,
24.9237981342939,724.376233805498,,
25.0057843123672,706.974616340146,,
25.0877704904406,695.826183709671,,
25.1697566685139,680.786591135999,,
25.2517428465872,651.144435527327,,
25.3337290246606,616.597030977061,,
25.4157152027339,587.952143320892,,
25.4977013808072,566.44684863484,,
25.5796875588806,522.964961593684,,
25.6616737369539,498.411021086552,,
25.7436599150273,484.894669714537,,
25.8256460931006,473.176880561582,,
25.9076322711739,463.343780480737,,
25.9896184492473,445.427196208951,,
26.0716046273206,439.615706287282,,
26.1535908053939,426.512938574891,,
26.2355769834673,426.113372551903,,
26.3175631615406,438.757764645023,,
26.3995493396139,433.831122018964,,
26.4815355176873,430.29817445904,,
26.5635216957606,428.429658460434,,
26.6455078738339,428.558602352324,,
26.7274940519073,430.977735385691,,
26.8094802299806,435.829481652996,,
26.8914664080539,443.029220777805,,
26.9734525861273,462.292699400337,,
27.0554387642006,452.908441819334,,
27.1374249422739,453.769838766749,,
27.2194111203473,455.339165099881,,
27.3013972984206,467.29094712622,,
27.383383476494,468.959272351441,,
27.4653696545673,459.082603131501,,
27.5473558326406,447.225500690032,,
27.629342010714,443.788788987303,,
27.7113281887873,429.209464241007,,
27.7933143668606,423.63732205409,,
27.875300544934,417.896855827814,,
27.9572867230073,402.303250681024,,
28.0392729010806,397.41440115164,,
28.121259079154,394.311703861267,,
28.2032452572273,393.415881129969,,
28.2852314353006,405.142533974935,,
28.367217613374,399.7324572304,,
28.4492037914473,397.096213195307,,
28.5311899695206,408.446737633402,,
28.613176147594,424.802785798301,,
28.6951623256673,436.316218058385,,
28.7771485037407,462.996804176128,,
28.859134681814,474.91473447641,,
28.9411208598873,501.333020300908,,
29.0231070379607,522.049566480468,,
29.105093216034,545.759842079004,,
29.1870793941073,571.2090293905,,
29.2690655721807,576.643762374532,,
29.351051750254,590.369729828013,,
29.4330379283273,591.801974861603,,
29.5150241064007,580.025093292403,,
29.597010284474,575.204942102812,,
29.6789964625473,568.331832657409,,
29.7609826406207,560.023975599559,,
29.842968818694,551.039494110995,,
29.9249549967673,552.19689671539,,
30.0069411748407,544.046825308722,,
30.088927352914,536.391515871114,,
30.1709135309873,539.354918592306,,
30.2528997090607,542.603863036172,,
30.334885887134,534.908556946249,,
30.4168720652074,525.113585807214,,
30.4988582432807,502.792651826754,,
30.580844421354,487.910758485544,,
30.6628305994274,471.170029273965,,
30.7448167775007,462.89666515572,,
30.826802955574,443.460510763489,,
30.9087891336474,422.940154203548,,
30.9907753117207,412.266586602851,,
31.072761489794,402.391177550294,,
31.1547476678674,383.65430917444,,
31.2367338459407,386.565009745773,,
31.318720024014,381.917693538253,,
